text,label
"According to the learned counsel for the respondent unless a claim to property or rights over property was Made either by the State against any person or by any person against the State,there could be no occasion for the Collector to held an inquiry contemplated by s.37(2) of the Code",Argument
"The main issue in the suit was whether- the widow took under the will an absolute estate or an estate like the Hindu widow's estate and whether the daughter's interest therein was in the nature of a contingent remainder, or whether she got in the properties a vested interest",Facts
"On the 19th July, 1899, Rajendra made and published his last will and, testament whereby he confirmed the dedication made by Dwarka Nath with regard to premises Nos",Facts
"If Nagendra was thus a sevayat of the idol it could not be urged that his possession could in any manner whatever be adverse to the idol and his dealings with the said premises in the manner he purported to do after the 12th October, 1920, could not be evidence of any adverse possession against the idol",Ratio of the decision
"As regards the payment of maintenance to be made to Chinnanmal alias Lakshmi Ammal, wife of my late son Hariharamayyan, my wife Ranganayaki Ammal shall pay the same as she pleases, and obtain a release deed",Facts
"Leave to appeal to the Supreme Court was granted and the appeal was admitted on the 27th November, 1951",Facts
This provision lifts partially the ban on the trial of a person for more than one offence at the same trial,Statute
The appeals are allowed,Ruling by Present Court
"However, out of respect for learned counsel on both sides who adopted the same method of approach we proceed to examine some of the important cases referred to by them",Ratio of the decision
But it also provides that this will be subject to the exceptions contained in SS,Statute
"He has further urged that since u/s.5 (1) of the Act,the maternity benefit has to be computed with reference to the period of the workers' actual absence thereby meaning absence on days on which there was work excluding Sundays and the term 'week"" in the context of 'sub-ss.(1) and (3) of s.5 of the Act is to be under stood as a week of work consisting of six days and in the instant case,respondent No.2 was working and earning wages for six days in a week,the seventh day being a wageless holiday,her claim cannot be sustained",Argument
Did Nagendra act as shebait of the plaintiff deity under the wills of Dwarka Nath Ghosh and Rajendra Nath Ghosh,Ratio of the decision
yield; income; receipts; return,Argument
"233 to 239 of the Code, the High Court was incompetent to set aside the conviction of the respondents without coming to the definite conclusion that misjoinder had occasioned failure of justice",Ruling by Lower Court
"The Division Bench of the High Court held that no warning as contemplated by service Regulation No.113 had been issued to the respondent nor he had been afforded any opportunity of showing cause before the impugned order of discharge was passed and consequently,the order of discharge was null and void being contrary to service Regulation No.113 itself",Ruling by Lower Court
P. 24 that actual possession of this land was handed over by the said Tehsildar on 13th,Argument
"In the result,the appeal fails and is hereby dismissed",Ruling by Present Court
"Learned counsel further pointed out that the decisions show that however undesirable it may be to adduce the evidence of a person jointly accused of having committed an offence along with others, his evidence is competent and admissible except when it is given in a case in which he is being actually tried",Argument
Indeed we find that within four years of the death of the testator the widow was able to pay a lump sum of Rs,Ratio of the decision
A/1 is inadmissible in evidence,Ruling by Lower Court
The Division Bench held that letter dated 24.4.1974 which contained a warning had not been served on the respondent and since the Board had failed to raise the question before the learned Single Judge it could not do so in the letters patent appeal,Ruling by Lower Court
"K.N.Bhat has assisted the Court as amicus curiae,we direct the appellant to pay Rs.1,000/-to Mr",Ruling by Present Court
"His two elder brothers Jnanendra and Bhupendra were declared to be the then sevayats, but a right was reserved to Nagendra to join with them as a sevayat on, his attaining majority",Ratio of the decision
Grey Street,Ratio of the decision
41-A and 40/2-A,Facts
"The authority while so determining shall take into consideration the liability of the Company as on 28th October,1984,including labour charges,Sales Tax,loan amount given by the State Government etc.if payable",Ruling by Present Court
"Jogendra died on the 5th August, 1911, leaving a will whereby he appointed his widow Sushilabala the executrix thereof",Facts
It may be mentioned that only from that point of view viz.to grant flat increase of Rs.150/-and of Rs.100/-to the employees in the category of Draftsmen and the other categories respectively that a burden statement was called for from the company and the same was submitted (vide Ex,Ruling by Lower Court
"The appellants filed on the 18th August, 1950, an appeal against this judgment being Appeal No. 118 of 1950",Facts
"Sub-s.(2) of sec.464 provides that if the court of appeal,confirmation or revision is of opinion that failure of justice has in fact been occasioned,it may -- (a) in the case of an omission to frame a charge,order that a charge be framed and that the trial be recommended from the point immediately after the framing of the charge; (b) in case of an error,omission or irregularity in the charge,direct a new trial to be had upon a charge framed in whatever manner it thinks fit",Statute
"Similarly there is s. 5 of the Evidence Act which reads thus:"" ""It is the case of the prosecution that the alleged payments were never made by VESCO to the various firms",Statute
"When the award is sent for publication,a necessary corrigendum be made in the award and the aforesaid words after the figures Rs.150/-and Rs.100/-be added",Ruling by Lower Court
"t is quite true,that a dedication may be either absolute or partial",Ratio of the decision
"They thus became entitled to the whole of the premises which had been purchased at the auction sale held on the 9th December, 1936",Facts
The High Court held that since the account books were not translated they are not admissible in evidence,Statute
"Madhav Reddy,Sr.advocate,we must also record that he conceded that in the facts and circumstances of the case and keeping in view the law laid down by the Constitution Bench in Kartar Singh's case [1994",Ruling by Lower Court
"The appeal, and the cross-objections came on for hearing before Harries C. J. and S. N. Banerjee J., who delivered judgment on the 5th March, 1951, dismissing the said appeal and allowing the cross-objection in regard to Rs",Ruling by Lower Court
"Thus he points out that where several persons are accused of more offences than one of the same kind committed by them jointly within a period of 12 months, the number of offences for which they could be tried cannot exceed three",Statute
"We also agree with him that Civil Appeal No.2299 of 1979 should also be dismissed in so far as it relates to the award dated December 20,1978.However,we do not agree with our learned brother that Civil Appeal No.2299 of 1979 should be allowed in so far as it relates to the order dated December 22,1978 of the Industrial Tribunal which purports to correct the award dated December 20,1978.In our opinion Civil Appeal No.2299 of 1979 should be dismissed in its entirety",Ruling by Present Court
But the ultimate decision of the case would negative such argument,Argument
The appeal will accordingly be allowed with costs,Ruling by Present Court
"M.L.J. 188, the next case cited, a Hindu testator who was a retired subordinate judge provided by his will as follows: ""Out, of the aforestated ancestral lands, the oneninth share to which I am entitled shall be enjoyed after my death by my wife till her death, and after her death it shall pass to S. son of my second elder brother deceased",Precedent
The appeal is allowed and disposed of as stated above,Ruling by Present Court
"After considering the rival contentions of the parties, we are of the opinion that no sufficient grounds have been made out for disturbing the unanimous opinion of the two courts below on the construction of this will",Ruling by Present Court
Cal 54 1932 Indlaw CAL 59,Precedent
41 Grey Street allotted to the branch of Rajendra was subsequently numbered 41-A Grey Street,Facts
The said suit was heard by Mr. Justice Bose who declared the premises,Ruling by Lower Court
Lab,Argument
The Conciliation Board by a majority decision repelled the contention of the appellant and awarded the payment of bonus at annas 4 per rupee,Facts
This will was construed as conveying an absolute estate to the son and the daughter of the niece,Precedent
"As admittedly compensation had not been calculated by the date of vesting, the Compensation Officer lost his statutory jurisdiction to do so",Ruling by Lower Court
"969 of 1909 and the award dated the 12th October, 1920, and the dealings made by the heirs of jogendra",Facts
"The shebait for the time being is the only person competent to safeguard the interests of the idol, his possession of the dedicated property is the possession of the idol whose sevait he is, and no dealing of his with the property dedicated to the idol could afford the basis of a claim by him for adverse possession of the property against the idol",Ruling by Present Court
To this kind of charges,Ruling by Lower Court
"He urged that having regard to such determination that was made by the competent authority under s.2 (4) (i) of the Act it would be clear that a further inquiry into the respondent's rights to mines and mineral products,particularly gravel and stones under s.37(2) of the Code would be misconceived and incompetent",Argument
Both the learned counsel eventually conceded that the language used in the will was consistent with the testator's intention of conferring a life estate in the English sense as well as with the intention of conferring a Hindu widow's estate,Ratio of the decision
1 M.L.J. 268,Precedent
"That is to say, they have given their explantion regarding the circumstances appearing in the evidence set out in the questions and wherever that was not feasible they have said that they would do so in their written statements",Argument
"The idol was declared entitled to possession of the said premises with mesne profits for three years prior to the institution of the suit till delivery of possession, but was ordered to pay as a condition for recovery of possession of the said premises a sum of Rs",Ruling by Lower Court
This decision completely meets the argument based upon Dawson's Case,Ruling by Lower Court
"The appeal is,therefore,dismissed with costs",Ruling by Present Court
For all these reasons we cannot accept the argument of learned counsel on the ground of misjoinder of charges and multiplicity of charges,Ruling by Lower Court
"It was further contended that Nagendra, by virtue of the award dated the 12th October, 1920, claimed to be absolutely entitled to the premises",Argument
112 of 1100 M.E. and the appellant was therefore not entitled to claim any value for improvements as it was his duty to remove any building before he was evicted,Argument
"Ramalakshmi died on 25th April, 1938 during the lifetime of the widow",Facts
The witnesses present in his defence were witnesses in the case of Haidar Baksh,Statute
It is under these provisions that the account books of the firms must be held to be relevant,Statute
"Grey Street, were its absolute properties and for possession thereof, for a declaration that the consent decree dated the 24th November, 1910, in Suit No",Facts
The appellant no.1 is in custody,Ruling by Present Court
From this receipt it is evident that possession of 50.12 acres was handed over by the Tehsildar and taken over by the Appellant and the Military Estate Officer Sukhchain Lal Jain,Argument
"5,02,563-1-10 during the year 1949 and also",Facts
"In re : the appellant (I.L.R. 1957 Mad 715 ), and the cases referred to therein, in particular the decision in Winson v. Queen ((1866) L.R. I Q.B",Argument
The fact that the gift over was a contingent bequest was by itself taken as a sure indication that the preceding bequest was that of a widow's estate,Ratio of the decision
Reliance was next placed on Maharaja of Kolhapur v. sundaram Iyer (1925) I.L.R. 48 Mad,Precedent
The plaintiff was allowed to amend his plaint and include therein a prayer for a declaration in respect of the invalidity of these alienations as well,Facts
"April,2003 in C.A.Nos.7123-7124 of 2003 held that this Court is satisfied that no fault can be found with the impugned judgment of the High Court so far as the setting aside of the sale is concerned,we dismiss the appeals,so far it relates to cancellation of auction sale",Ruling by Present Court
in respect of the said two properties will be paid.,Ratio of the decision
1) deals with the trial of a person for offences of the same kind not exceeding three committed within the space of 12 months from the first to the last of such offences and s. 231 (2) what is meant by the expression 'offences of' the same kind,Statute
NO,Argument
What is given must be gathered from the language of the will in the light of the surrounding circumstances,Ratio of the decision
"Therefore, where the alleged offences have been committed in the course of the same transaction the limitation placed by s. 234 (1) cannot operate",Ruling by Lower Court
"and/or Rajendra relating to the said premises or any of them purporting to affect its rights in the said premises were invalid and inoperative in law and not binding on it, for an account of the dealings with the said premises, for a scheme of management of the debutter properties and for its worship, for discovery, receiver, injunction and costs",Facts
Appeals allowed,Ruling by Present Court
"He pointed out that presumably pursuant to this determination,the Mamlatdar,Idar,had passed an order on November 24,1959,that the respondent's right to stones and gravel in the two villages of Kapoda and Isarwada,though not to mica,had been recognised by the Government and accordingly the necessary entry pertaining to respondent's right to stones and gravel had been made in the relevant revenue records at least in the case of village Kapoda and had been duly certified",Argument
"The Pocket Part of the Corpus Juris Secundum, Volume XI, under the heading ""As Compensation for Services"" quotes the following passage from Attorney-General v. City of Woburn, 317 Mass. 465 :- ""The word 'bonus' is commonly used to denote an increase in salary or wages in contracts of employment",Ratio of the decision
"The ""products"" of a farm may include, the increase of cattle on the premises",Argument
One Dwarka Nath Ghose was the owner of considerable moveable and immoveable properties,Facts
The subordinate judge held that Chunderbutti got an estate for life with the power to appropriate profits and Girdhari got a vested remainder on her death,Precedent
"The idol filed on the 20th November, 1950, cross-objections against the decree for Rs",Facts
"For the purpose of the carrying on the daily (and) periodical sheba and the festivals, etc",Ratio of the decision
"3 of the said will provided ""With a view to provide a permanent habitation for the said deity, I do by means of this will, dedicate the aforesaid immovable property the said house",Ratio of the decision
"If both of them would live together amicably, Muthu Arunachala Chetty himself would enjoy the properties which remain after the death of the widow",Precedent
240 per annum,Facts
Before the land was actually acquired the Appellant who was a Major in the Military Engineering-Service was working as a Garrison Engineer and was inching of the extension,Argument
Dutt and Durga Charan Dutt for a sum of Rs,Facts
"This can be achieved by having a contented labour force on the one hand, and on the other hand an investing public who would be attracted to the industry by a steady and progressive return on capital which the, industry may be able to offer",Ruling by Lower Court
Those account books are in Gujrati and he stated in his evidence that the accounts were regularly kept and that there were no entries in them corresponding to the entries in the VESCO accounts,Statute
Appeals partly allowed,Ruling by Present Court
"i) to be proprietary was not tantamount to the establishment by the respondent of his rights to mines and mineral products in the villages of his Jagir for which there must be an actual grant or contract or law or custom or usage recognising such rights and this could only be determined by the Collector by holding an inquiry under s.37(2) of the Bombay Land Revenue Code,and,therefore the High Court was clearly in error in coming to the conclusion that the inquiry initiated by the second appellant under s.37(2) of the Bombay Land Revenue Code,was incompetent or without jurisdiction",Argument
"The result therefore is that the decision of the Labour Appellate Tribunal appealed against must be reversed and that of the Industrial Court (Textiles and Hosiery), Kanpur, restored",Ruling by Present Court
No. 40/2-A,Ruling by Lower Court
"The arbitrator made his award dated the 12th October, 1920, whereby he allotted premises No. 41-A Grey Street, exclusively to Nagendra as his share of the family properties",Facts
"S.464 of the Code relates to effect of omission to frame,or absence of,or error in,charge",Statute
"We also agree with him that Civil Appeal No.2299 of 1979 should also be dismissed in so far as it relates to the award dated December 20,1978.However,we do not agree with our learned brother that Civil Appeal No.2299 of 1979 should be allowed in so far as it relates to the order dated December 22,1978 of the Industrial Tribunal which purports to correct the award dated December 20,1978.In our opinion Civil Appeal No.2299 of 1979 should be dismissed in its entirety",Ruling by Present Court
The question in every case cannot be determined merely on the theory that every Hindu thinks only about a Hindu widow's estate and no more,Ratio of the decision
"Commissioner of Central Excise,Delhi 2005 (189",Precedent
and she thus got an interest in it on the testator's death,Ratio of the decision
"Mr. Bhimasankaram, therefore, very rightly did not support the view of the High Court",Statute
"It will be useful to set out the provisions of that section which run thus :"" ""This first thing to be noticed is that s. 239 does not read as if its various clauses can be applied only alternatively",Statute
"C.A.No.7122 of 2003,C.A.Nos.7123-7124 of 2003 and C.A.No.7125 of 2003",Ruling by Present Court
"In this judgment the following observations were emphasized as relevant to this enquiry:- ""It has been contended that these latter expressions qualify the generality of the former expressions, and that the will, taken as a whole, must be construed as intimating the intention of the testator that Mst",Precedent
239 would apply,Ruling by Lower Court
"b) says that persons accused of an offence and persons accused of abetment, or, of an attempt to commit such offence may also be charged and tried together",Statute
"The primary meaning of the word "" bonus "" according to the definition given in the New English Dictionary is:-"" A boon or gift over and above what is nominally due as remuneration to the receiver and which is therefore something wholly to the good",Ratio of the decision
6) Unlike in case of fisheries etc,Ruling by Lower Court
"It was contended on behalf of the appellants that the, dedication of the premises",Argument
"Dealing with this matter this Court held at p. 200 : ""No doubt, sub-s",Ruling by Lower Court
"Bhatt has,on the other hand,urged that the scheme of s.5 of the Act clearly indicates that a woman worker who expects delivery had to be paid maternity benefit for all the seven days of the week including Sundays falling within the ante-natal and post-natal periods specified in the s",Argument
"It is true that there the charges were 67 in number and spread over a long period, of time",Ruling by Lower Court
Objection was taken very seriously by Mr. Bhimasankaram to the charge of conspiracy framed in this case,Argument
"Mr. Bhimasankaram then relying upon the decision in R. v. Dawson ( [1960] 2 W.L.R. 435, contended that in any event it was not desirable to try the respondents at the same trial for as many as 83 offences and pointed out that these observations had received the approval of this Court in The State of Andhra Pradesh v. Kandimalla Subbaiah ([1962] 2 B. C.R. 194",Argument
"It may be assumed that a Hindu generally desires that an estate, especially an ancestral estate, shall be retained in his family; and it may be assumed that a Hindu knows that, as a general rule, at all events, women do not take absolute estates of inheritance which they are enabled to alienate",Precedent
"Generally speaking, there will be no point in making a will if what is to be given to a widow is what she would get on intestacy and cases do arise where a Hindu wishes to give to his widow a more restricted estate than she would get on intestacy or a much larger estate than that",Ratio of the decision
"She certainly would have the power of selling her own estate; and it would further follow that Girdhari would not be possessed in any sense of a vested remainder, but merely of a contingent one",Precedent
221 to 223 deal with the framing and content of charge,Statute
In coming to this conclusion it has relied upon the provisions of s. 356 (2A) of the Code of Criminal Procedure,Statute
"He further urged that the two letters addressed by the respondent-one to the Collector on October 11,1968 and the other to the Mamlatdar on October 4,1971,merely contained a request to make appropriate entries in the Revenue Records based on the Mamlatdar's order dated November 24,1959 and,therefore,the Collector could not pronounce upon those letters as containing a claim put forward by the respondent for the first time to mines and mineral products in the said Jagir villages to initiate an inquiry under s.37(2) of the Bombay Land Revenue de",Argument
"So, it would follow that if there is trading loss in the year under claim, bonus should not ordinarily be awarded",Ruling by Lower Court
and shall take the municipal bills in his name,Ratio of the decision
"But then s. 235 (1) provides that if in any one series of acts so connected together as to form the same transaction more offences than one are committed by the same person, he may be charged with and tried at one trial for every such offence",Ruling by Lower Court
"In view of the discussion made above, the appeal is allowed",Ruling by Present Court
"If the intention of the Legislature was that the provisions of these clauses should be available only alternatively it would have used the word ""or"" and not ""and"" which has the opposite effect",Statute
Civil Appeal No.2300 of 1979 is dismissed,Ruling by Present Court
ELT 257 2005 Indlaw SC 799(SC,Precedent
1) of s. 234 provides that not more than three offences of the same kind committed by an accused person within the space of 12 months can be tried at the same trial,Ruling by Lower Court
We do not find any merit in the above arguments,Precedent
The widow in such a case takes as a demise and not as an heir,Ratio of the decision
"The conviction and sentence of the appellants for the offence under Section 3 TADA cannot therefore,be sustained and is hereby set aside",Ruling by Lower Court
"Learned counsel for the appellants has contended that the High Court has adopted an erroneous view of the scope and ambit of the inquiry contemplated under S.2(4)(i) of the Act by the competent authority in as much as under the said provision the competent authority had power merely to decide the question whether the respondents Jagir was a proprietary or a non-proprietary Jagir and had no Dower or jurisdiction to determine whether on the appointed date that is on August 1,1954 when the Act,came into force the respondent had subsisting rights to mines and minerals products in the Jagir villages so as to be saved under S.10 of the Act",Argument
"e) A was charged with murdering Haidar Baksh on the 20th January,1882,and Khoda Baksh (who tried to arrest him for that murder) on the 21 st January,1882.When charged for the murder of Haidar Baksh,he was tried for the murder of Khoda Baksh",Statute
Nagendra thereafter executed several mortgages of the said premises,Facts
"The opening words of the section show that it is an enabling provision and, therefore, the Court has a discretion to avail itself cumulatively of two or more clauses",Statute
"The first mortgage was created by him in favour of Snehalata Dutt on the 19th May, 1926",Facts
The same is accordingly set aside,Ruling by Present Court
"The Division Bench further held that since the letter dated 24.4.1974 was not served on the respondent,there was no material to show that any warning had been issued to the respondent before he was discharged from service",Ruling by Lower Court
In the circumstances we wish to say nothing further on the point,Statute
"Unless we read s. 234(1) as not enacting a fetter on s. 235(1), it may not be possible to give full effect to the latter",Statute
In regard however to the cross-objection relating to premises,Ruling by Lower Court
"If the two could not agree and live together amicably, my wife would pay Rs",Precedent
41 Grey Street was ;allotted to the branch of Rajendra and the remaining portion was allotted to jogendra absolutely and in consideration of a sum of Rs,Facts
But as regards the immovable property none shall have the lest right of alienation,Precedent
"Neither Nagendra nor the appellants who derive their title from the auction sale held on the 9th December, 1936, could therefore claim to have perfected their title to the premises",Ruling by Present Court
"Similarly,the same words ""to each employee"" after the figure ""100"" were omitted",Ruling by Lower Court
"No.23,but it appears that the words ""to each employee"" after the figure ""Rs.150/-"" were omitted",Ruling by Lower Court
The Special Judge acquitted the Appellant of the second charge namely that being a public servant he had by corrupt or illegal means or by otherwise abusing his position as a public servant obtained for himself a sum of Rs,Ruling by Lower Court
A. 2 5,Ratio of the decision
"Mr. Chari for the State advanced a further argument before us in case his main argument that the pardon was valid failed and said that the approver, even if we ignore the pardon, was a competent witness",Argument
to the ordinary shareholders was distributed after transferring the aggregate sum of Rs,Facts
In support of his contention he strongly relied upon the decision in Kandaswamy Gounder,Argument
None of her children survived her,Facts
Grey Street which was directed against Sushilabala and the two sons of jogendra the learned judges held that the cross-objection against the co-respondents was not maintainable and dismissed the same with costs,Ruling by Lower Court
"Clearly, therefore, all the accused persons could be tried together in respect of all the offences now comprised in charge No. 1",Ruling by Lower Court
One of the partners of the firm was examined by the prosecution as a witness in the case and he produced the account books of the firm,Statute
"Nagendra died in June, 1931, and the said premises were ultimately put up for sale in execution of the mortgage decree and were purchased on the 9th December, 1936, by Hari Charan Dutt",Facts
The prosecution case is that these receipts are forged documents and the entries in the account books of VESCO are false,Statute
"The appeals (C.A.Nos.7126-7129 of 2003) filed by the Commissioner,Meerut are dismissed",Ruling by Present Court
I do not think that any problem would arise for interpretation of the award,Ruling by Lower Court
"With a view to provide for the expenses of his daily (and) periodical Sheba and festivals, etc",Ratio of the decision
"Vide Encyclopaedia Britannica, Volume III, page 856",Ratio of the decision
What we find here in cl,Ratio of the decision
"19,000 by the appeal court could not be and was not seriously pressed before us and does not require any consideration",Ruling by Present Court
"On the 18th September, 1945, the suit out of which this appeal arises was instituted by the plaintiff, the husband and the sole heir of Ramalakshmi, for a declaration that the said sale would not be binding on him beyond the lifetime of the widow",Facts
The will there ran as follows,Precedent
"This section provides that the following persons may be charged and tried together, namely : (1) persons accused of the same offence committed in the course of the same transaction; (2) persons accused of abetment or an attempt to commit such an offence; (3) persons accused of different offences committed in the course of the same transaction",Ruling by Lower Court
"At page 193 of the report it was observed as follows: ""The question therefore arises, did he intend to confer only a life estate or a daughter's estate",Precedent
We do not think in these circumstances there is any justification whatever for interfering with the concurrent findings of the Trial Court and the High Court that the Appellant is guilty of an offence under Section 5(1)(c) read with Section 5(2) of the Prevention of Corruption Act and consequently the appeal is dismissed,Ruling by Present Court
There was no direction that this report of the D.F.O. should be further subject to the approval of the Chief Conservator of Forests,Ruling by Lower Court
"In this connection he relied upon the words ""within the meaning of s. 224"" occurring in cl",Statute
probate of his said will,Facts
"C.A.Nos.6169-6171 of 2013,C.A.Nos.6172-6174 of 2013,C.A.No.7122 of 2003,C.A.Nos.7123-7124 of 2003,C.A.No.7125 of 2003 are allowed in terms of the directions as above",Ruling by Present Court
"Pursuant to this agreement it is said that -symbolic possession of the land which was acquired was taken over by the Tehsildar on 1st February 1963, after which at any rate it appears from Ex",Argument
Hari Pada,Facts
"4,000 and separate him",Precedent
There remains the decision of this Court in K.V. Krishna Murthy Iyer v. The State of Madras (IN on which Mr. Bhimasankaram strongly relied,Ruling by Lower Court
"In the result, the High Court has declined the confirmation of death sentence but upheld the conviction on both the charges found proved and dismissed the appeal laying challenge to the conviction subject to modification in the sentence by substituting sentence of life imprisonment for death sentence under Section 302 IPC",Ruling by Lower Court
This Court has thus clearly read the provisions of the various clauses cumulatively and we see no reason to read them differently,Ruling by Lower Court
"In the result,Civil Appeal No.2299 of 1979 is allowed in part insofar that the order dated 22nd December,1978 of the Industrial Tribunal,Maharashtra Bombay is quashed to the extent that it modifies the original award dated 20th December,1978,and the corrigendum made consequent thereto is also quashed",Ruling by Present Court
"But, in the present case, we have to see whether the possession of two joint shebaits becomes adverse to the idol when they openly claim to divide the property between them",Precedent
Then this Court has observed,Ruling by Lower Court
Appeal dismissed,Ruling by Present Court
"Again, what was said by this Court was that it is undesirable to complicate a trial by introducing a large number of charges spread over a long period but even so this was a question of propriety which should be left to the discretion of the judge or Magistrate trying the case",Argument
"The Designated Court therefore,rightly found the said appellants guilty of the offences under Section 302/149,307/149 and Section 324/149",Statute
"of the said Sri Issur Sridhar Jew Salagram Sila Thakur my said ,second wife Srimati Golap Moni Dasi, and 1st Sriman Rajendara Nath and 2nd, Sriman Jogendra Nath Ghose born of the womb of my first wife on living in the said house",Ratio of the decision
3 of the will is an absolute dedication of the premises,Ratio of the decision
In that case this Court upheld the order of the High Court of Madras in quashing the charges in the exercise of its inherent powers even before the conclusion of the trial,Ruling by Lower Court
Civil Appeal No.2300 of 1979 is dismissed,Ruling by Present Court
Then we come to the other sub-head of this chapter,Statute
of the said premises,Ratio of the decision
"Haripada Dutt died on the 3rd June, 1941, leaving him surviving his three sons, Pashupati Nath Dutt, Shambhunath Dutt and Kashinath Dutt, the appellants before us",Facts
Reliance was next placed on the decision in Pavani Subbamma v. Ammala Rama Naidu (1937,Precedent
Inspector of Plantation Mundakayam,Argument
He appointed his two sons Rajendra and Jogendra executors of Ms will and provided that his second wife Golap Sundari and the two sons Rajendra and jogendra should perform the seva of the deity and on their death their heirs and successors would be entitled to perform the seva,Facts
He also on the analogy of other wills and the decisions given on their terms wanted a decision on the construction of this will in his favour,Argument
The gift to Mst,Precedent
Take cls,Statute
L. J. 199,Precedent
It is also their case that these firms maintain their accounts in the regular course of business and it is their practice to enter in those accounts all payments received by them,Statute
The learned judge however dismissed the suit of the idol in regard to the premises,Ruling by Lower Court
This rule of construction by analogy is a dangerous one to follow in construing wills differently worded and executed in different surroundings,Ratio of the decision
"M.JAGANNADHA RAO,J",Ruling by Present Court
"It was held that Suraj took only a life estate under the will, with remainder over to Mahalaxmi after her death and the bequest to Mahalaxmi was not contingent on her surviving Suraj, but that she took a vested remainder which upon her death passed to her heirs",Precedent
"On the other hand,if any amount is found payable by the Company,the Competent authority may recover the amount,in accordance with law",Ruling by Present Court
"969 of 1909,on",Facts
"Before his death he executed a will on 16th November, 1924, the construction of which is in controversy in this appeal",Ratio of the decision
"The fact of their possession is in accordance with the idol's title, and the question is whether the change made by them, in the intention with which they hold, evidenced by an application of the rents and profits to their own purposes and other acts, extinguishes the idol's right",Precedent
his also I dedicate to the Sheba of the said Sri Sri Sridhar Jew Salagram Sila Thakur,Ratio of the decision
In the case of Pahwa Chemicals Pvt,Precedent
The valuable right of the appellants under Section 5A of the Act cannot flatten and steamrolled on the 'ipsi dixit' of the executive authority,Ruling by Present Court
"It also gives another meaning of the word bonus', viz:- ""Increased compensation for services already rendered gratuitously or for a prescribed compensation where there is neither express or implied understanding that additional compensation may be granted",Ratio of the decision
"To summarise,therefore,a trader acquires a right of property in a distinctive mark merely by using it upon or in connection with his goods irrespective of the length of such user and the extent of his trade",Ruling by Present Court
"Then we come to s. 236 which provides that if a single act or series of acts is of such a nature that it is doubtful which of several offences the facts which can be proved will constitute, the accused may be charged with having committed all or any of such offences and further provides that any number of such charges may be tried together",Statute
My self-acquired properties shall on my death be enjoyed by my wife till her death and after her death they shall pass to my daughter,Precedent
"Therefore, deduction of income-tax from the gross assets is illegal and unwarranted",Ruling by Lower Court
"The said illustrations are extracted below : ""(d) A is charged with the murder of Khoda Baksh on the 21st January,1882.In fact,the murdered person's name was Haidar Baksh,and the date of the murder was the 20th",Statute
"In the Indian Penal Code, as originally enacted, conspiracy was not an offence",Argument
The first contention of the appellants is clearly untenable on the very language of the will of Dwarka Nath,Ratio of the decision
No costs,Ruling by Present Court
"Obviously, s. 233 does not override the provisions of s. 239",Statute
"19,000 to the appellants with interest thereon at the rate of 6 per cent",Ruling by Lower Court
